timestamp,latitude,longitude,accident,harm,index_right,u,v,key,osmid,highway,length,speed_kph,travel_time,dist_to_edge
2022-01-01 17:00:00,43.008182172,-89.48275418,1,1,16275,1237829713,1237829778,0,107752961,residential,289.80219967631,35.78807267343486,29.151833024222576,0.0028839395888901175
2022-01-01 17:00:00,43.008182172,-89.48275418,1,1,16282,1237829778,1237829713,0,107752961,residential,289.80219967631,35.78807267343486,29.151833024222576,0.0028839395888901175
2022-01-02 14:25:00,42.985476462,-89.37173551,1,0,20867,4199378732,53642809,0,"[1434416847, 1452186595, 1452186583]",tertiary,808.7342760193482,44.58354698042482,65.30309028458352,0.04121439926923293
2022-01-02 14:25:00,42.985476462,-89.37173551,1,0,12026,53642809,4199378732,0,"[1452186583, 1452186595, 1434416847]",tertiary,808.7342760193482,44.58354698042482,65.30309028458352,0.04121439926923293
2022-01-02 16:45:00,43.024906745,-89.47403993,1,0,19457,3250376669,53425655,0,"[1256470170, 38308734]",residential,103.7425401049074,40.2335,9.282641191486364,0.0016008866792808943
2022-01-02 16:45:00,43.024906745,-89.47403993,1,0,2069,53425655,3250376669,0,"[1256470170, 38308734]",residential,103.7425401049074,40.2335,9.282641191486364,0.0016008866792808943
2022-01-02 12:30:00,43.025929272,-89.41924398,1,0,12072,53645085,53411887,0,"[1260444632, 1260444633, 1260444631]",tertiary,106.71451330021425,40.2335,9.548566440423311,0.0007461432474798992
2022-01-02 12:30:00,43.025929272,-89.41924398,1,0,1276,53411887,53645085,0,"[1260444632, 1260444633, 1260444631]",tertiary,106.71451330021424,40.2335,9.54856644042331,0.0007461432474798992
2022-01-02 12:31:00,43.06763089,-89.40088158,1,2,19643,3306923767,2859302267,0,"[686731242, 686731243, 1046531702]",primary,148.95586507344413,44.25685,12.116567588167683,1.0271246621808521e-05
2022-01-01 00:08:00,43.073560459,-89.38161387,1,0,7770,53539161,53426174,0,6692593,tertiary,130.06348234160436,40.2335,11.637777882356138,3.093041123613683e-05
2022-01-02 11:35:00,43.094263738,-89.31633054,1,0,1921,53424225,53424219,0,700608776,tertiary,219.1656753004792,40.2335,19.61043486352729,6.770384540803059e-06
