edge_id,hour,risk,accidents,y,best_travel_time_s
447565040_447532375_0,2022-12-31 23:00:00,0.961291611251662,0,0,35.642450916072335
447541864_447532375_0,2022-12-31 23:00:00,0.961291611251662,0,0,0.0
447532375_447541864_0,2022-12-31 23:00:00,0.961291611251662,0,0,1.563099444942777
9935716362_3952753061_0,2022-12-31 23:00:00,0.7246674277665432,0,0,588.1826315882084
9935716362_3952745623_0,2022-12-31 23:00:00,0.7246674277665432,0,0,588.1826315882084
3952753061_9935716362_0,2022-12-31 23:00:00,0.7246674277665432,0,0,555.8959759175976
3952745623_9935716362_0,2022-12-31 23:00:00,0.7246674277665432,0,0,611.8853544732619
53645085_53621439_0,2022-12-31 23:00:00,0.5388603482089797,0,0,419.276161516404
53353742_29981753_0,2022-12-31 23:00:00,0.5388603482089797,0,0,375.497615205735
53621439_53645085_0,2022-12-31 23:00:00,0.5388603482089797,0,0,398.1406493083124
1221112296_446492091_0,2022-12-31 23:00:00,0.5388603482089797,0,0,382.8683389412344
53471435_3753845882_0,2022-12-31 23:00:00,0.0529243890904305,0,0,418.4668742867861
53473558_53634846_0,2022-12-31 23:00:00,0.0529243890904305,0,0,327.77589816634946
53474381_1428210949_0,2022-12-31 23:00:00,0.0529243890904305,0,0,272.1190451151362
53474381_6254633075_0,2022-12-31 23:00:00,0.0529243890904305,0,0,272.1190451151362
53474413_53374676_0,2022-12-31 23:00:00,0.0529243890904305,0,0,320.4596157213458
53474413_7251518573_0,2022-12-31 23:00:00,0.0529243890904305,0,0,320.4596157213458
53474526_1843427850_0,2022-12-31 23:00:00,0.0529243890904305,0,0,266.2207762034611
53469774_7392623701_0,2022-12-31 23:00:00,0.0529243890904305,0,0,327.60218767535827
53469521_53600655_0,2022-12-31 23:00:00,0.0529243890904305,0,0,378.03231620248414
53469033_455711974_0,2022-12-31 23:00:00,0.0529243890904305,0,0,462.7228428074148
53474526_53308284_0,2022-12-31 23:00:00,0.0529243890904305,0,0,266.2207762034611
53468619_3423900533_0,2022-12-31 23:00:00,0.0529243890904305,0,0,192.96501085424762
