y,x,highway,ref,street_count,junction,railway
43.136113,-89.30458,,,3,,
43.0496121,-89.2742937,,,3,,
43.04564,-89.276277,motorway_junction,267B,3,,
43.067037,-89.509107,,,1,,
43.066573,-89.509014,,,3,,
43.066461,-89.510122,,,1,,
43.066444,-89.509784,,,3,,
43.0664373,-89.5244856,,,4,,
43.0663784,-89.5243315,,,3,,
43.066545,-89.509112,,,3,,
43.066136,-89.509035,,,1,,
43.0581958,-89.4869984,,,3,,
43.0608808,-89.4865141,traffic_signals,,4,,
43.0594317,-89.4865219,,,3,,
43.1269832,-89.3067896,,,1,,
43.1404403,-89.2986017,motorway_junction,135A,3,,
43.1064556,-89.3228652,motorway_junction,1C,3,,
43.1061758,-89.3181767,,,3,,
43.105968,-89.3166859,,,4,,
43.105962,-89.3163499,,,4,,
43.106303,-89.309823,,,3,,
43.1052906,-89.3166964,,,3,,
43.0443725,-89.3051756,,,4,,
43.0405701,-89.300468,,,3,,
43.0405135,-89.300604,,,3,,
43.0422527,-89.3015348,,,1,,
43.0448793,-89.3711206,,,3,,
43.139761,-89.3881028,traffic_signals,,3,,
43.035542,-89.4204178,,,3,,
43.0356611,-89.4189828,,,4,,
43.0358262,-89.4186028,,,3,,
43.035795,-89.417947,,,4,,
43.137843,-89.304062,,,3,,
43.13799,-89.303504,,,3,,
43.040666,-89.291811,,,3,,
43.148836,-89.362814,,,3,,
43.148843,-89.363566,,,1,,
43.1281276,-89.3562816,,,4,,
43.069338,-89.419266,,,3,,
43.06952,-89.419285,,,3,,
43.043961,-89.348964,motorway_junction,264,3,,
43.043903,-89.359964,,,3,,
43.047717,-89.506906,,,3,,
43.047543,-89.507289,,,1,,
43.047517,-89.506805,,,3,,
43.047583,-89.506304,,,1,,
43.075377,-89.513086,,,1,,
43.076077,-89.513479,,,3,,
43.075625,-89.511643,,,1,,
43.075281,-89.512741,,,3,,
43.0752231,-89.4676735,,,3,,
43.0772211,-89.4691468,,,3,,
43.112326,-89.352622,,,3,,
43.0473644,-89.2861882,,,3,,
43.057561,-89.289506,,,1,,
43.057572,-89.2898642,,,4,,
43.057593,-89.291152,,,1,,
43.0598811,-89.5053735,stop,,3,,
43.0603276,-89.5053612,,,3,,
43.0607559,-89.5053468,,,4,,
43.066038,-89.509731,,,1,,
43.066108,-89.510071,,,3,,
43.0608742,-89.4848557,,,4,,
43.066195,-89.5078,,,1,,
43.065842,-89.507851,,,3,,
43.087222,-89.257828,,,3,,
43.086804,-89.2573,,,3,,
43.152287,-89.28267,,,3,,
43.1547039,-89.2846034,,,4,,
43.0470027,-89.4722229,,,3,,
43.0473354,-89.4740274,,,3,,
43.1126168,-89.3534257,,,3,,
43.11078,-89.3542705,motorway_junction,,3,,
43.04678,-89.507164,,,3,,
43.046516,-89.506461,,,1,,
43.046718,-89.510634,,,3,,
43.046425,-89.511234,,,1,,
43.050042,-89.510477,,,3,,
43.049472,-89.510927,,,1,,
43.0456703,-89.5635779,,,3,,
43.0493869,-89.5097361,,,3,,
43.049216,-89.510376,,,1,,
43.0501828,-89.5023354,,,3,,
43.0602367,-89.4881069,,,3,,
43.060146,-89.4881465,,,2,,
43.0823714,-89.5197156,,,3,,
43.060888,-89.4586994,,,3,,
43.106982,-89.32939,,,3,,
43.149826,-89.2880881,,,3,,
43.1483801,-89.2877812,,,4,,
