osmid,highway,lanes,oneway,reversed,length,bridge,speed_kph,travel_time,maxspeed,ref,name,junction,access,width,tunnel
38197485,residential,,False,False,31.841959249137396,,35.78807267343486,3.203051875492142,,,Rethke Avenue,,,,
6561403,tertiary,2,False,False,256.7396700024686,,40.2335,22.972468515264318,25 mph,,Walter Street,,,,
6561403,tertiary,2,False,True,275.4356406412882,,40.2335,24.64534048264848,25 mph,,Walter Street,,,,
6683559,residential,,False,False,93.65409422000155,,32.1868,10.47493814830942,20 mph,,Dawes Street,,,,
6683559,residential,,False,True,91.95177776650094,,32.1868,10.284539002305399,20 mph,,Dawes Street,,,,
6561403,tertiary,2,False,False,184.56043953066302,,40.2335,16.514038855938132,25 mph,,Walter Street,,,,
6561403,tertiary,2,False,True,256.7396700024686,,40.2335,22.972468515264318,25 mph,,Walter Street,,,,
6637288,residential,,False,False,91.93795414782504,,32.1868,10.28299287074733,20 mph,,Richard Street,,,,
6637288,residential,,False,True,93.02071365380817,,32.1868,10.404096373473271,20 mph,,Richard Street,,,,
700608780,residential,,False,True,6.6975697210026315,,35.78807267343486,0.6737230924845813,,,Hargrove Street,,,,
700608778,tertiary,,True,False,28.050327535345936,,44.58354698042482,2.26498755631944,,,Walter Street,,,,
700608781,residential,,False,False,54.64088979201013,,35.78807267343486,5.496445842339264,,,Hargrove Street,,,,
"[293253881, 230280940]",tertiary,2,False,"[False, True]",98.0149470932879,,44.58354698042482,7.914440044233426,,,Walter Street,,,,
230280941,tertiary,,True,False,29.171929698083385,,44.58354698042482,2.355553876393248,,,Walter Street,,,,
6656385,residential,,False,False,239.00726434439846,,32.1868,26.73226762647528,20 mph,,Sargent Street,,,,
"[293253881, 230280940]",tertiary,2,False,"[False, True]",98.0149470932879,,44.58354698042482,7.914440044233426,,,Walter Street,,,,
293253881,tertiary,2,False,True,92.3643335311987,,44.58354698042482,7.458168387955096,,,Walter Street,,,,
6561410,residential,,False,False,37.308676187425164,,35.78807267343486,3.752960811841329,,,Timberwood Court,,,,
6791571,residential,,False,False,141.38845708666602,,35.78807267343486,14.222572144540834,,,Timberwood Drive,,,,
6791571,residential,,False,True,91.07458214559621,,35.78807267343486,9.161390128938683,,,Timberwood Drive,,,,
6561410,residential,,False,True,37.308676187425164,,35.78807267343486,3.752960811841329,,,Timberwood Court,,,,
6561415,residential,,False,False,67.82393283270689,,32.1868,7.585909695830118,20 mph,,Sturbridge Circle,,,,
62376526,residential,,False,False,80.71032271213922,,32.1868,9.02721493791558,20 mph,,Sawmill Road,,,,
62376526,residential,,False,True,75.98016138216306,,32.1868,8.498160145643153,20 mph,,Sawmill Road,,,,
6561415,residential,,False,False,66.76773084500675,,32.1868,7.467776574310722,20 mph,,Sturbridge Circle,,,,
6561415,residential,,False,True,67.82393283270687,,32.1868,7.585909695830116,20 mph,,Sturbridge Circle,,,,
6789524,residential,,False,False,33.43860690666075,,32.1868,3.7400109630028058,20 mph,,Thornhill Circle,,,,
6561415,residential,,False,True,66.76773084500677,,32.1868,7.467776574310724,20 mph,,Sturbridge Circle,,,,
6561425,residential,,True,False,109.3097231143187,,32.1868,12.225974722915835,20 mph,,Sturbridge Circle,,,,
1100837135,motorway,5,True,False,186.24741641218574,,88.5137,7.574993465236101,55 mph,US 12;US 18,West Beltline Highway,,,,
"[6619544, 1165596660, 1382881270]",motorway_link,"['2', '1', '3']",True,False,254.9102660674986,,88.5137,10.367626230097658,,,,,,,
"[700431616, 38245525]",motorway,4,True,False,697.3794154607897,,88.5137,28.36358547500379,55 mph,US 12;US 18,West Beltline Highway,,,,
38245839,motorway,5,True,False,607.8475549564507,,88.5137,24.722175186928382,55 mph,US 12;US 18,West Beltline Highway,,,,
"[173548962, 1165568807, 1382881258, 6581869, 173548955, 1383926206]",motorway_link,"['2', '1', '3']",True,False,388.57415033134356,yes,88.5137,15.803959626507952,,,,,,,
