edge_id,hour,risk,accidents,y,best_travel_time_s
53427572_53427538_0,2022-12-31 23:00:00,0.9601098656691314,0,0,586.3735968287114
4540696927_53302605_0,2022-12-31 23:00:00,0.8388816697603155,0,0,337.15989325300495
4505482205_4505480855_0,2022-12-31 23:00:00,0.5013152943950684,0,0,131.54209809969325
53567978_53567981_0,2022-12-31 23:00:00,0.5013152943950684,0,0,380.10973924864044
53302605_53283261_0,2022-12-31 23:00:00,0.5013152943950684,0,0,264.0802815251994
53297947_438722787_0,2022-12-31 23:00:00,0.5013152943950684,0,0,435.7512725361688
10829398901_2638675157_0,2022-12-31 23:00:00,0.5013152943950684,0,0,56.93693018939433
53663463_53544707_0,2022-12-31 23:00:00,0.5013152943950684,0,0,247.19364876038838
1179459773_3306923798_0,2022-12-31 23:00:00,0.5013152943950684,0,0,93.8762694456012
482809209_245561673_0,2022-12-31 23:00:00,0.5013152943950684,0,0,551.7081644373837
3233235440_4329948718_0,2022-12-31 23:00:00,0.5013152943950684,0,0,271.25279794169955
53652463_53488195_0,2022-12-31 23:00:00,0.5013152943950684,0,0,122.48360928339756
471755008_2341547515_0,2022-12-31 23:00:00,0.5013152943950684,0,0,526.4831025393153
3295593417_3295593421_0,2022-12-31 23:00:00,0.5013152943950684,0,0,50.21368145509633
53453152_1699123277_0,2022-12-31 23:00:00,0.5013152943950684,0,0,251.1697644270884
53565432_53439094_0,2022-12-31 23:00:00,0.5013152943950684,0,0,400.8675180742108
53616182_53668988_0,2022-12-31 23:00:00,0.5013152943950684,0,0,112.39845406996818
450537809_1180187701_0,2022-12-31 23:00:00,0.5013152943950684,0,0,210.78334317776918
449907112_2713311962_0,2022-12-31 23:00:00,0.5013152943950684,0,0,156.39390810640714
53399004_3330110110_0,2022-12-31 23:00:00,0.5013152943950684,0,0,229.05341415256007
2988958550_53623648_0,2022-12-31 23:00:00,0.5013152943950684,0,0,39.44539948982035
2384881598_53719166_0,2022-12-31 23:00:00,0.5013152943950684,0,0,287.99692551140765
53536696_3298610427_0,2022-12-31 23:00:00,0.5013152943950684,0,0,469.2552566227499
53675709_53672622_0,2022-12-31 23:00:00,0.5013152943950684,0,0,420.0739679112607
2633816202_53630829_0,2022-12-31 23:00:00,0.5013152943950684,0,0,348.78496866574847
2384881654_1777291057_0,2022-12-31 23:00:00,0.5013152943950684,0,0,270.5184256746687
4505472642_496663408_0,2022-12-31 23:00:00,0.5013152943950684,0,0,165.22408694306864
