edge_id,hour,accidents,mean_speed,mean_travel_time,mean_length,highway
1031202447_496663127_0,2022-01-16 12:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-02-14 19:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-04-07 14:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-05-22 12:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-06-15 06:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-06-24 17:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-07-26 05:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-08-05 16:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-08-05 22:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-10-18 09:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-10-20 11:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-10-21 15:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-10-26 08:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
1031202447_496663127_0,2022-11-01 16:00:00,1,35.78807267343486,16.881230771626022,167.81853157554914,residential
10725638754_3299018437_0,2022-01-08 21:00:00,1,51.91636569037656,2.3524997696076215,33.925899534854416,secondary
10725638754_3299018437_0,2022-10-07 17:00:00,1,51.91636569037656,2.3524997696076215,33.925899534854416,secondary
10829398901_2638675157_0,2022-07-15 07:00:00,1,48.2802,15.39515566014232,206.46699841744535,secondary
10966348619_2471329904_0,2022-05-09 00:00:00,1,35.78807267343486,21.899407089256385,217.7048812265117,residential
10966348619_2471329904_0,2022-09-26 13:00:00,1,35.78807267343486,21.899407089256385,217.7048812265117,residential
10966348619_53416997_0,2022-02-03 11:00:00,1,35.78807267343486,53.30519803716131,529.9139725627128,residential
10966348619_53416997_0,2022-08-14 00:00:00,1,35.78807267343486,53.30519803716131,529.9139725627128,residential
10966348619_53416997_0,2022-12-28 08:00:00,1,35.78807267343486,53.30519803716131,529.9139725627128,residential
11032190191_316373854_0,2022-07-15 12:00:00,1,35.78807267343486,21.837719280813776,217.09163462328695,residential
11040659255_53479369_0,2022-12-23 08:00:00,1,35.78807267343486,20.59012499224576,204.6891359937774,residential
11232828721_11716456683_0,2022-04-23 20:00:00,1,88.5137,40.68972258851617,1000.4438606342064,motorway
11232828721_11716456683_0,2022-07-22 14:00:00,1,88.5137,40.68972258851617,1000.4438606342064,motorway
11232828721_11716456683_0,2022-09-11 16:00:00,1,88.5137,40.68972258851617,1000.4438606342064,motorway
11232828721_11716456683_0,2022-09-16 14:00:00,1,88.5137,40.68972258851617,1000.4438606342064,motorway
11232828721_11716456683_0,2022-10-29 22:00:00,1,88.5137,40.68972258851617,1000.4438606342064,motorway
11232828721_11716456683_0,2022-11-04 20:00:00,1,88.5137,40.68972258851617,1000.4438606342064,motorway
11232828721_11716456683_0,2022-12-24 23:00:00,1,88.5137,40.68972258851617,1000.4438606342064,motorway
11232898869_11232898868_0,2022-06-30 08:00:00,1,88.5137,36.55128936141536,898.6916280970861,motorway
11232898869_11232898868_0,2022-07-14 04:00:00,1,88.5137,36.55128936141536,898.6916280970861,motorway
11232898869_11232898868_0,2022-09-07 11:00:00,1,88.5137,36.55128936141536,898.6916280970861,motorway
11232898869_11232898868_0,2022-09-27 16:00:00,1,88.5137,36.55128936141536,898.6916280970861,motorway
11232898869_11232898868_0,2022-09-30 19:00:00,1,88.5137,36.55128936141536,898.6916280970861,motorway
11232898869_11232898868_0,2022-10-04 18:00:00,1,88.5137,36.55128936141536,898.6916280970861,motorway
11232898936_53580831_0,2022-03-10 18:00:00,1,32.1868,159.5639694132098,1426.625991863639,unclassified
11232898993_53410408_0,2022-09-03 01:00:00,1,32.1868,48.00867354819209,429.2348816002636,"['unclassified', 'residential']"
1142782131_53551792_0,2022-07-27 14:00:00,1,40.2335,29.79649283187092,333.004776208633,residential
1142902939_53498437_0,2022-05-17 18:00:00,1,40.2335,3.9495847345277193,44.14044928239473,residential
1142902939_53498437_0,2022-07-12 22:00:00,1,40.2335,3.9495847345277193,44.14044928239473,residential
1142902939_53498437_0,2022-10-04 17:00:00,1,40.2335,3.9495847345277193,44.14044928239473,residential
1142903104_13202666793_0,2022-01-19 17:00:00,1,51.91636569037656,8.952686378499477,129.10859442706442,secondary
1142903104_13202666793_0,2022-07-01 14:00:00,1,51.91636569037656,8.952686378499477,129.10859442706442,secondary
1142903104_13202666793_0,2022-08-12 15:00:00,1,51.91636569037656,8.952686378499477,129.10859442706442,secondary
1142903920_53412771_0,2022-09-04 00:00:00,1,35.78807267343486,30.584413905490575,304.0436743122524,residential
1142904218_1192150405_0,2022-04-13 10:00:00,1,32.1868,21.58826942444199,193.01591953073037,residential
1142904218_2713292536_0,2022-04-13 07:00:00,1,32.1868,10.993478714519084,98.29025019124524,residential
1153131780_53639900_0,2022-09-02 21:00:00,1,48.2802,8.878775984031387,119.07474451784226,secondary
1153238753_53462486_0,2022-02-08 11:00:00,1,51.91636569037656,1.967068290075436,28.36751019041668,secondary
1153239022_53544707_0,2022-01-14 14:00:00,1,40.2335,11.633671147310372,130.01758558480887,tertiary
1153239022_53663431_0,2022-12-31 19:00:00,1,40.2335,4.424452920252728,49.44756293527448,tertiary
1153329197_53538985_0,2022-08-30 09:00:00,1,40.2335,46.52378021052282,519.948475305575,residential
11603196290_1180079551_0,2022-05-17 07:00:00,1,40.2335,15.4416030208729,172.57492642785826,primary
1160692043_53604257_0,2022-09-04 16:00:00,1,40.2335,16.86646391781803,188.49913223264772,tertiary
1177715646_53455177_0,2022-09-30 08:00:00,1,35.78807267343486,1.4443850229549644,14.358821158314765,residential
1177715708_1177715719_0,2022-10-26 15:00:00,1,48.2802,24.79007623407313,332.4638440545271,secondary
1177715716_53292980_0,2022-06-14 17:00:00,1,44.58354698042482,1.4871334085232526,18.417133940293255,tertiary
1177715716_53292980_0,2022-11-26 20:00:00,1,44.58354698042482,1.4871334085232526,18.417133940293255,tertiary
1177715720_1177715646_0,2022-07-29 17:00:00,1,48.2802,6.492066489628261,87.06618570348621,secondary
1177715723_3344172823_0,2022-06-03 17:00:00,1,48.2802,15.14271747065987,203.08150778526465,secondary
1177715826_1179397922_0,2022-10-27 12:00:00,1,48.2802,9.909404634379946,132.89667711910852,secondary
1177715829_1234901473_0,2022-04-12 13:00:00,1,35.78807267343486,3.2469100395350687,32.27795901638508,residential
1177715830_1177715829_0,2022-03-09 01:00:00,1,51.91636569037656,11.605190468678671,167.36092007733177,secondary
1177715830_1177715829_0,2022-12-10 19:00:00,1,51.91636569037656,11.605190468678671,167.36092007733177,secondary
1177776755_53458244_0,2022-07-20 23:00:00,1,48.2802,24.04865357777115,322.5205012404185,secondary
1178648999_53448743_0,2022-08-17 18:00:00,1,40.2335,74.64155016234095,834.1918912379291,tertiary
1178648999_53448743_0,2022-10-22 15:00:00,1,40.2335,74.64155016234095,834.1918912379291,tertiary
1178722234_1178722454_0,2022-09-09 16:00:00,1,35.78807267343486,1.6505764149562308,16.4085968587531,residential
1178722259_1178722440_0,2022-07-30 16:00:00,1,51.91636569037656,1.2033462511123068,17.35371222913617,secondary
1178722259_1178722440_0,2022-09-27 15:00:00,1,51.91636569037656,1.2033462511123068,17.35371222913617,secondary
1178722301_53442383_0,2022-07-14 15:00:00,1,35.78807267343486,9.95635504757724,98.9774327792262,residential
1178722330_1178722479_0,2022-11-22 17:00:00,1,44.58354698042482,1.2415073979825169,15.375223167916255,tertiary
1178722439_1178722269_0,2022-10-23 16:00:00,1,44.58354698042482,8.21338830678286,101.71721762331264,tertiary
1178722440_1178722259_0,2022-07-30 16:00:00,1,51.91636569037656,1.2033462511123068,17.35371222913617,secondary
1178722440_1178722259_0,2022-09-27 15:00:00,1,51.91636569037656,1.2033462511123068,17.35371222913617,secondary
1178722440_53462244_0,2022-01-05 07:00:00,1,40.2335,16.55816367396812,185.05357727127677,tertiary
1178722454_1178722234_0,2022-09-09 16:00:00,1,35.78807267343486,1.6505764149562308,16.4085968587531,residential
1178727209_53332719_0,2022-05-29 15:00:00,1,35.78807267343486,25.888631920417016,257.3622890510249,residential
1178750108_1178750114_0,2022-01-08 21:00:00,1,40.2335,1.454565656521403,16.256185372681628,secondary
1178750108_1178750114_0,2022-12-06 20:00:00,1,40.2335,1.454565656521403,16.256185372681628,secondary
1178750114_1178750108_0,2022-01-08 21:00:00,1,40.2335,1.454565656521403,16.256185372681628,secondary
1178750114_1178750108_0,2022-12-06 20:00:00,1,40.2335,1.454565656521403,16.256185372681628,secondary
11793715342_53640736_0,2022-02-24 22:00:00,1,40.2335,3.757987154929252,41.99916005495725,primary
